X,Y,OBJECTID,A05010201,A05010202,A05010203,A05010204,A05010294,A05010295,A05010296,A05010297,A05010298,A05010299,layer,path,icon_url
8.23389409727389,40.8902510793315,16,"0101",1.780000000000000,"08","1102","02","2011","07","09","05","01",GDB_WGS84_LOTTO_3_STINTINO,F:\01_1RTI_DBGT10k\4. DBGT Comuni WGS84 vettoriali\STINTINO\DBGT_GDB_LOTTO_3\GDB_WGS84_LOTTO_3.gdb|layername=ST05TE01CL02PTS,./0.png
8.23331913183954,40.8910050812463,17,"0101",1.890000000000000,"08","1102","02","2011","07","09","05","01",GDB_WGS84_LOTTO_3_STINTINO,F:\01_1RTI_DBGT10k\4. DBGT Comuni WGS84 vettoriali\STINTINO\DBGT_GDB_LOTTO_3\GDB_WGS84_LOTTO_3.gdb|layername=ST05TE01CL02PTS,./0.png
8.23397115983551,40.8909026746574,18,"0101",1.850000000000000,"08","1102","02","2011","07","09","05","01",GDB_WGS84_LOTTO_3_STINTINO,F:\01_1RTI_DBGT10k\4. DBGT Comuni WGS84 vettoriali\STINTINO\DBGT_GDB_LOTTO_3\GDB_WGS84_LOTTO_3.gdb|layername=ST05TE01CL02PTS,./0.png
8.23454253599093,40.8903821406303,19,"0101",3.240000000000000,"08","1102","02","2011","07","09","05","01",GDB_WGS84_LOTTO_3_STINTINO,F:\01_1RTI_DBGT10k\4. DBGT Comuni WGS84 vettoriali\STINTINO\DBGT_GDB_LOTTO_3\GDB_WGS84_LOTTO_3.gdb|layername=ST05TE01CL02PTS,./0.png
8.23450940174899,40.8904710127393,20,"0101",0.880000000000000,"08","1102","02","2011","07","09","05","01",GDB_WGS84_LOTTO_3_STINTINO,F:\01_1RTI_DBGT10k\4. DBGT Comuni WGS84 vettoriali\STINTINO\DBGT_GDB_LOTTO_3\GDB_WGS84_LOTTO_3.gdb|layername=ST05TE01CL02PTS,./0.png
8.23498626311282,40.8905435587618,21,"0101",2.790000000000000,"08","1102","02","2011","07","09","05","01",GDB_WGS84_LOTTO_3_STINTINO,F:\01_1RTI_DBGT10k\4. DBGT Comuni WGS84 vettoriali\STINTINO\DBGT_GDB_LOTTO_3\GDB_WGS84_LOTTO_3.gdb|layername=ST05TE01CL02PTS,./0.png
8.23429489895165,40.8906286302261,22,"0101",1.750000000000000,"08","1102","02","2011","07","09","05","01",GDB_WGS84_LOTTO_3_STINTINO,F:\01_1RTI_DBGT10k\4. DBGT Comuni WGS84 vettoriali\STINTINO\DBGT_GDB_LOTTO_3\GDB_WGS84_LOTTO_3.gdb|layername=ST05TE01CL02PTS,./0.png
8.23358074339659,40.890533506326,23,"0101",1.800000000000000,"08","1102","02","2011","07","09","05","01",GDB_WGS84_LOTTO_3_STINTINO,F:\01_1RTI_DBGT10k\4. DBGT Comuni WGS84 vettoriali\STINTINO\DBGT_GDB_LOTTO_3\GDB_WGS84_LOTTO_3.gdb|layername=ST05TE01CL02PTS,./0.png
8.23331027085542,40.8907309900617,24,"0101",2.310000000000000,"08","1102","02","2011","07","09","05","01",GDB_WGS84_LOTTO_3_STINTINO,F:\01_1RTI_DBGT10k\4. DBGT Comuni WGS84 vettoriali\STINTINO\DBGT_GDB_LOTTO_3\GDB_WGS84_LOTTO_3.gdb|layername=ST05TE01CL02PTS,./0.png
8.23275211095759,40.8910496939779,25,"0101",2.300000000000000,"08","1102","02","2011","07","09","05","01",GDB_WGS84_LOTTO_3_STINTINO,F:\01_1RTI_DBGT10k\4. DBGT Comuni WGS84 vettoriali\STINTINO\DBGT_GDB_LOTTO_3\GDB_WGS84_LOTTO_3.gdb|layername=ST05TE01CL02PTS,./0.png
